"Parent1" "Parent2"
"282" "F16.INT.210" "F16.INT.609"
"283" "F16.INT.210" "F16.INT.612"
"284" "F16.INT.210" "F16.INT.681"
"285" "F16.INT.210" "F16.INT.686"
"286" "F16.INT.210" "F16.INT.701"
"287" "F16.INT.306" "F16.INT.312"
"288" "F16.INT.306" "F16.INT.320"
"289" "F16.INT.306" "F16.INT.409"
"290" "F16.INT.306" "F16.INT.411"
"291" "F16.INT.306" "F16.INT.412"
"292" "F16.INT.306" "F16.INT.501"
"293" "F16.INT.306" "F16.INT.502"
"294" "F16.INT.306" "F16.INT.503"
"295" "F16.INT.306" "F16.INT.504"
"296" "F16.INT.306" "F16.INT.505"
"297" "F16.INT.306" "F16.INT.609"
"298" "F16.INT.306" "F16.INT.612"
"299" "F16.INT.306" "F16.INT.681"
"300" "F16.INT.306" "F16.INT.686"
"301" "F16.INT.306" "F16.INT.701"
"302" "F16.INT.312" "F16.INT.320"
"303" "F16.INT.312" "F16.INT.409"
"304" "F16.INT.312" "F16.INT.411"
"305" "F16.INT.312" "F16.INT.412"
"306" "F16.INT.312" "F16.INT.501"
"307" "F16.INT.312" "F16.INT.502"
"308" "F16.INT.312" "F16.INT.503"
"309" "F16.INT.312" "F16.INT.504"
"310" "F16.INT.312" "F16.INT.505"
"311" "F16.INT.312" "F16.INT.609"
"312" "F16.INT.312" "F16.INT.612"
"313" "F16.INT.312" "F16.INT.681"
"314" "F16.INT.312" "F16.INT.686"
"315" "F16.INT.312" "F16.INT.701"
"316" "F16.INT.320" "F16.INT.409"
"317" "F16.INT.320" "F16.INT.411"
"318" "F16.INT.320" "F16.INT.412"
"319" "F16.INT.320" "F16.INT.501"
"320" "F16.INT.320" "F16.INT.502"
"321" "F16.INT.320" "F16.INT.503"
"322" "F16.INT.320" "F16.INT.504"
"323" "F16.INT.320" "F16.INT.505"
"324" "F16.INT.320" "F16.INT.609"
"325" "F16.INT.320" "F16.INT.612"
"326" "F16.INT.320" "F16.INT.681"
"327" "F16.INT.320" "F16.INT.686"
"328" "F16.INT.320" "F16.INT.701"
"329" "F16.INT.409" "F16.INT.411"
"330" "F16.INT.409" "F16.INT.412"
"331" "F16.INT.409" "F16.INT.501"
"332" "F16.INT.409" "F16.INT.502"
"333" "F16.INT.409" "F16.INT.503"
"334" "F16.INT.409" "F16.INT.504"
"335" "F16.INT.409" "F16.INT.505"
"336" "F16.INT.409" "F16.INT.609"
"337" "F16.INT.409" "F16.INT.612"
"338" "F16.INT.409" "F16.INT.681"
"339" "F16.INT.409" "F16.INT.686"
"340" "F16.INT.409" "F16.INT.701"
"341" "F16.INT.411" "F16.INT.412"
"342" "F16.INT.411" "F16.INT.501"
"343" "F16.INT.411" "F16.INT.502"
"344" "F16.INT.411" "F16.INT.503"
"345" "F16.INT.411" "F16.INT.504"
"346" "F16.INT.411" "F16.INT.505"
"347" "F16.INT.411" "F16.INT.609"
"348" "F16.INT.411" "F16.INT.612"
"349" "F16.INT.411" "F16.INT.681"
"350" "F16.INT.411" "F16.INT.686"
"351" "F16.INT.411" "F16.INT.701"
"352" "F16.INT.412" "F16.INT.501"
"353" "F16.INT.412" "F16.INT.502"
"354" "F16.INT.412" "F16.INT.503"
"355" "F16.INT.412" "F16.INT.504"
"356" "F16.INT.412" "F16.INT.505"
"357" "F16.INT.412" "F16.INT.609"
"358" "F16.INT.412" "F16.INT.612"
"359" "F16.INT.412" "F16.INT.681"
"360" "F16.INT.412" "F16.INT.686"
"361" "F16.INT.412" "F16.INT.701"
"362" "F16.INT.501" "F16.INT.502"
"363" "F16.INT.501" "F16.INT.503"
"364" "F16.INT.501" "F16.INT.504"
"365" "F16.INT.501" "F16.INT.505"
"366" "F16.INT.501" "F16.INT.609"
"367" "F16.INT.501" "F16.INT.612"
"368" "F16.INT.501" "F16.INT.681"
"369" "F16.INT.501" "F16.INT.686"
"370" "F16.INT.501" "F16.INT.701"
"371" "F16.INT.502" "F16.INT.503"
"372" "F16.INT.502" "F16.INT.504"
"373" "F16.INT.502" "F16.INT.505"
"374" "F16.INT.502" "F16.INT.609"
